,TrRatio,Dataset,N_tr,seed,DetectT,Masktr,Maskte,Maskepoch,MaskT,Masksize,FCtr,FCte,FCepoch,FCT,FCsize,RFtr,RFte,RFT
77,0.15,5,1200,2,17.18004203,0.006373244,0.010731999,398,38.9184556,1504.386719,0.005330561,0.026863236,395,62.18454289,19373.52344,0.021414494,0.049935743,0.086905718
78,0.15,5,1200,3,14.11211562,0.006738619,0.012599424,391,29.54931045,1504.386719,0.003474343,0.0272993,362,60.90423536,19373.52344,0.021688542,0.049296926,0.111765862
79,0.15,5,1200,4,15.58550501,0.007038601,0.012199659,398,30.63634968,1504.386719,0.001385677,0.026675401,362,48.09093904,19373.52344,0.020666618,0.048327139,0.107257843
125,0.1,5,800,0,9.898822308,0.005654706,0.011109549,395,21.53963733,1504.386719,0.004671125,0.034502272,357,69.9189713,19373.52344,0.021191134,0.050802456,0.07438159
126,0.1,5,800,1,11.58074546,0.009158122,0.016442304,399,23.18445516,1504.386719,0.005157364,0.033734336,367,73.85592318,19373.52344,0.023770616,0.053050495,0.089734793
127,0.1,5,800,2,13.38940096,0.005486287,0.012074223,388,21.90994883,1504.386719,0.009427439,0.031187629,326,78.24157405,19373.52344,0.020308628,0.050491749,0.055777788
128,0.1,5,800,3,11.71092415,0.010219498,0.019060705,397,22.58317161,1504.386719,0.000499775,0.03007447,376,36.92121887,19373.52344,0.022681221,0.053810609,0.076979876
129,0.1,5,800,4,11.69009972,0.013599746,0.023527902,378,22.05389357,1504.386719,0.006360073,0.032595828,365,35.22299838,19373.52344,0.022448779,0.051571082,0.075871944
175,0.075,5,600,0,12.11276603,0.011031738,0.023282204,398,16.74993253,1504.386719,0.002559044,0.035988756,368,35.72084332,19373.52344,0.02440514,0.057479994,0.044290304
176,0.075,5,600,1,16.15896511,0.012500329,0.025188526,296,16.084337,1504.386719,0.005564648,0.035325918,256,34.86622119,19373.52344,0.023012988,0.054068817,0.067007065
177,0.075,5,600,2,15.01727271,0.0057201,0.013189704,397,16.50244045,1504.386719,0.016224755,0.037325777,193,35.60392785,19373.52344,0.023352828,0.054503161,0.056010962
178,0.075,5,600,3,15.13968062,0.005973796,0.012378648,396,15.89474392,1504.386719,0.002603857,0.035678707,355,35.98562121,19373.52344,0.027698646,0.060327038,0.068363428
179,0.075,5,600,4,12.68509245,0.006282726,0.017124537,397,15.41548204,1504.386719,0.006588191,0.037073433,70,35.62513614,19373.52344,0.024728983,0.053214506,0.057892561
225,0.05,5,400,0,13.95579767,0.011434964,0.027331701,275,9.761427164,1504.386719,0.00975613,0.041352119,53,32.45898342,19373.52344,0.031417873,0.066872568,0.035036564
226,0.05,5,400,1,13.13528681,0.010620356,0.030365897,362,10.13042998,1504.386719,0.008532245,0.042690061,316,32.96760726,19373.52344,0.029369273,0.069596966,0.035680056
227,0.05,5,400,2,16.08767962,0.005994224,0.020921225,399,10.36112285,1504.386719,0.006401123,0.039927296,116,33.23053241,19373.52344,0.030420889,0.070402302,0.042076349
228,0.05,5,400,3,15.08958817,0.006019566,0.020565426,396,10.13058949,1504.386719,0.004464835,0.040541228,77,33.05871558,19373.52344,0.029486391,0.067775397,0.042958498
229,0.05,5,400,4,11.62503815,0.005754995,0.019766049,396,10.32646036,1504.386719,0.003308828,0.044300452,301,33.38900542,19373.52344,0.029747772,0.072149474,0.051407814
30,0.2,6,1600,0,22.44545865,0.007904537,0.010444327,360,40.54571319,1504.386719,0.001090248,0.013724392,366,56.29237056,19373.52344,0.031186314,0.0720058,0.119179726
31,0.2,6,1600,1,22.0014801,0.007645496,0.010742892,377,39.87756324,1504.386719,0.001913655,0.012987481,344,55.5124464,19373.52344,0.032047889,0.070037826,0.102360964
32,0.2,6,1600,2,16.34026265,0.007349723,0.009939447,364,37.42420053,1504.386719,0.001661083,0.012698393,398,55.57057095,19373.52344,0.031434634,0.070162084,0.106822252
33,0.2,6,1600,3,18.8343122,0.007317879,0.010202192,396,38.63904881,1504.386719,0.000864417,0.012762924,377,52.64404202,19373.52344,0.030580558,0.069210421,0.098547459
34,0.2,6,1600,4,14.34250569,0.007276206,0.010643215,373,38.40548134,1504.386719,0.001218083,0.013048091,391,53.00437212,19373.52344,0.03196995,0.070368952,0.131594181
80,0.15,6,1200,0,14.33722329,0.007862133,0.011673982,399,29.88002658,1504.386719,0.000962699,0.013893654,358,56.95301986,19373.52344,0.033121744,0.070379473,0.089436054
81,0.15,6,1200,1,13.73458076,0.008031371,0.011567656,350,30.06642365,1504.386719,0.001623833,0.013667341,385,59.29403281,19373.52344,0.032608753,0.07420886,0.072204351
